university,early_action,early_decision,regular_decision,rolling_admissions,sat_act,toefl,ielts,duolingo,required_documents,in_state,out_of_state,international_tuition,fees,financial_aid,scholarships,merit_awards,program_catalog,degree_summary,majors,minors,languages
Amherst College,,"November 9, 2026","January 5, 2027",,,,,,"secondary school transcript, teacher and counselor recommendations, essays, writing supplement, testing (optional if submitted by student)",,,,"{'tuition': '$75,330', 'housing': '$10,980', 'meals': '$9,340', 'fees': '$710'}","{'need_blind': True, 'average_aid_offer': '$76,000'}",,,True,"Students must complete four years of coursework, including a first-year seminar and required courses for their major.","American Studies, Anthropology, Architectural Studies, Art & the History of Art, Asian American & Pacific Islander Studies, Asian Languages & Civilizations, Astronomy, Biochemistry & Biophysics, Biology, Black Studies, Chemistry, Classical Civilization, Classics, Computer Science, Economics, Education Studies, English, Environmental Studies, European Studies, Film & Media Studies, French, Geology, German, Greek, History, Latin, Latinx and Latin American Studies, Law, Jurisprudence & Social Thought, Mathematics, Music, Neuroscience, Philosophy, Physics, Political Science, Psychology, Religion, Russian, Sexuality, Women’s & Gender Studies, Sociology, Spanish, Statistics, Theater & Dance",,English
Macalester University,November 1,"{'I': 'November 1', 'II': 'January 1'}",January 15,,Test Optional,,,,,,,,"{'tuition': 74494, 'residence_hall': 9268, 'meal_plan': 8162, 'activity_fee': 230, 'comprehensive_fee': 92154}","{'100% of demonstrated need met': True, 'average_need_based_aid_package': 67609, 'percentage_of_students_receiving_need_based_grants': 59}",{'merit_based_scholarships': True},,True,"{'total_credits_required': 128, 'first_year_course': True, 'language_proficiency': True, 'major_requirements': 10, 'minor_requirements': 5}","African Studies, American Studies, Anthropology, Art and Art History, Asian Languages and Cultures, Asian Studies, Astronomy, Biochemistry, Biology, Chemistry, Chinese, Classical Mediterranean and Middle East, Cognitive Science, Community and Global Health, Computer Science, Creative Writing, Critical Theory, Dance, Data Science, Economics, Educational Studies, English, Environmental Studies, Food, Agriculture and Society, French, Geography, Geology, German Studies, Global Indigenous Studies, History, Human Rights and Humanitarianism, Individually Designed Interdepartmental, International Development, International Studies, Japanese, Latin, Latin American Studies, Legal Studies, Linguistics, Mathematics, Media and Cultural Studies, Middle Eastern Studies and Islamic Civilization, Music, Neuroscience, Performance Design and Technologies, Philosophy, Physics, Political Science, Portuguese, Pre-Engineering, Pre-Law, Pre-Medicine, Psychology, Religious Studies, Russian Studies, Sociology, Spanish, Statistics, Theater, Theater and Dance, Urban Studies, Women’s, Gender, and Sexuality Studies",,
